BVG	CCG	ELG	GGG	LDG	NBG	NRG
ABL1	ABI1	ATM	ACO1	ABL1	AARS2	ABCB11
ACVR1B	ABL1	BCL2A1	ACVR1B	ACVR1B	ABCB1	ALK
AKT1	ABL2	BCL2L1	ACVR2B	AKT1	ABL1	APC
ALK	ACSL3	BRAF	ADNP	ALK	ACVR1B	ATM
APC	AF15Q14	CCND1	AJUBA	APC	ADAM10	AXIN2
AR	AF1Q	CCNE1	AKT1	AR	ADCY1	BAP1
ARID1A	AF3p21	CDC42	ALK	ARID1A	ADORA2A	BLM
ARID1B	AF5q31	CDKN1B	ALKBH6	ARID1B	AHNAK2	BMPR1A
ARID2	AKAP9	CDKN2A	ALPK2	ARID2	AJUBA	BRCA1
ASXL1	AKT1	CDKN2B	ANK3	ASXL1	AKAP9	BRCA2
ATM	AKT2	CDX2	APC	ATM	AKD1	BRIP1
ATRX	ALDH2	CHD1	APOL2	ATRX	AKT1	BUB1B
AXIN1	ALK	CHD2	ARHGAP35	AXIN1	AMPH	CBL
B2M	ALO17	CHD4	ARID1A	B2M	ANAPC1	CDC73
BAP1	APC	CREBP	ARID2	BAP1	ANKRD12	CDH1
BCL2	ARHGEF12	CRKL	ARID5B	BCL2	APAF1	CDK4
BCOR	ARHH	CTNNB1	ASXL1	BCOR	APC	CDKN1B
BRAF	ARID1A	DIS3	ASXL2	BRAF	AR	CDKN2A
BRCA1	ARID2	DNMT3A	ATM	BRCA1	ARHGAP32	CEBPA
BRCA2	ARNT	DOCK2	ATP5B	BRCA2	ARHGAP35	CHEK2
CARD11	ASPSCR1	EGFR	AXIN2	CARD11	ARHGEF6	COL7A1
CASP8	ASXL1	ELMO1	AZGP1	CASP8	ARID1A	CYLD
CBL	ATF1	EP300	B2M	CBL	ARID2	DDB2
CDC73	ATIC	ERBB2	BAP1	CCND1	ARID5B	DICER1
CDH1	ATM	ERG	BCLAF1	CDC73	ASPM	DIS3L2
CDKN2A	ATP1A1	ETV1	BCOR	CDH1	ASXL1	DKC1
CEBPA	ATP2B3	EZH2	BHMT2	CDKN2A	ATG13	DOCK8
CIC	ATRX	FAM46C	BRAF	CDKN2C	ATM	EGFR
CREBBP	AXIN1	FBXW7	BRCA1	CEBPA	ATR	ELANE
CRLF2	BAP1	FGFR1	BRE	CIC	ATRX	ERCC2
CSF1R	BCL10	FGFR2	C3orf70	CREBBP	AXIN2	ERCC3
CTNNB1	BCL11A	FOXA1	CAP2	CSF1R	B2M	ERCC4
CYLD	BCL11B	GATA3	CARD11	CTNNB1	BAP1	ERCC5
DAXX	BCL2	IDH1	CASP8	CYLD	BARD1	EXT1
DNMT1	BCL3	IDH2	CBFB	DAXX	BCLAF1	EXT2
DNMT3A	BCL5	JAK2	CCDC120	DNMT1	BCOR	FAH
EGFR	BCL6	JARID1A	CCDC6	DNMT3A	BLM	FANCA
EP300	BCL7A	KDM5A	CCND1	EGFR	BRAF	FANCC
ERBB2	BCL9	KDM5C	CD1D	EP300	BRCA1	FANCG
EZH2	BCOR	KEAP1	CD70	ERBB2	BRCA2	FH
FAM123B	BCR	KRAS	CD79B	ERG	BUB1B	FLCN
FBXW7	BHD	MAP2K1	CDC27	EZH2	CAD	GATA2
FGFR2	BIRC3	MAP2K4	CDH1	FBXW7	CARM1	GBA
FGFR3	BLM	MAP3K1	CDK12	FGFR2	CASP8	GJB2
